title,author,rating,gender,publisher,publishDate
Assassins,"Tim LaHaye, Jerry B. Jenkins",4.0,m;m,Tyndale House Publishers,October 2nd 2000
The Hob's Bargain,Patricia Briggs,3.98,w,Ace Books,June 1st 2008
I Have Lived a Thousand Years,Livia Bitton-Jackson,4.16,w,Simon Pulse,March 1st 1999
The Truth of the Matter,Andrew Klavan,4.32,m,Thomas Nelson Publishers,October 31st 2010
Letters to a Young Contrarian,Christopher Hitchens,4.14,m,Basic Books,April 13th 2005
Anne Frank Remembered: The Story of the Woman Who Helped to Hide the Frank Family,"Miep Gies, Alison Leslie Gold",4.29,w;w,Touchstone Books,April 15th 1988
Hunt the Moon,Karen Chance,4.25,w,Signet Select,June 7th 2011
The Candymakers,Wendy Mass,4.31,w,"Little, Brown Books for Young Readers",October 5th 2010
Where Are You Now?,Mary Higgins Clark,3.79,m,Simon & Schuster,April 8th 2008
An On Dublin Street Christmas,Samantha Young,4.15,w,,December 15th 2012
Chains,Laurie Halse Anderson,4.1,w,Atheneum,October 21st 2008
Public Secrets,Nora Roberts,4.03,w,Bantam Books,March 27th 2012
Carrie / 'Salem's Lot / The Shining,Stephen King,4.55,m,Wings,July 2nd 2002
"True Confessions of Adrian Albert Mole, Margaret Hilda Roberts and Susan Lilian Townsend",Sue Townsend,3.57,w,Penguin,January 30th 2003
The Devils of Loudun,Aldous Huxley,3.9,m,Vintage Classics,April 7th 2005
The Halloween Tree,Ray Bradbury,3.83,m,Yearling,September 7th 1999
Nothing but Shadows,"Cassandra Clare , Sarah Rees Brennan",4.43,w;w,Margaret K. McElderry Books,May 19th 2015
راوية الأفلام,Hernán Rivera Letelier,3.76,m,دار بلومزبري,2011
Bright We Burn,Kiersten White,4.35,w,Delacorte,July 10th 2018
The Young Wizards,Diane Duane,4.34,w,Science Fiction Book Club,2001
A Woman After God's Own Heart,Elizabeth George,4.32,w,Harvest House Publishers,July 1st 2006
Mister Pip,Lloyd Jones,3.68,m,The Dial Press,July 31st 2007
Even Now,Karen Kingsbury,4.27,w,Zondervan Publishing Company,December 9th 2005
Fatal Voyage,Kathy Reichs,4.04,w,Pocket Star Books,April 26th 2005
The Shadow Lines,Amitav Ghosh,3.85,m,Mariner Books,May 3rd 2005
Grave Surprise,Charlaine Harris,3.89,w,Berkley Publishing Group,October 1st 2006
Imperial Woman,Pearl S. Buck,4.05,w,Moyer Bell and its subsidiaries,December 1st 2004
I Am One of You Forever,Fred Chappell,4.1,m,Louisiana State University Press,July 1st 1987
Big Bad Beast,Shelly Laurenston,4.37,w,Kensington Publishing Corp,May 1st 2011
Yours Until Dawn,Teresa Medeiros,4.08,w,Avon,July 27th 2004
Sacred Games,Vikram Chandra,3.93,m,HarperCollins,January 9th 2007
When You Were Mine,Rebecca Serle,3.77,w,Simon Pulse,May 1st 2012
Birth of a Killer,Darren Shan,4.25,m,"Little, Brown Books for Young Readers",October 5th 2010
Sons of Fortune,Jeffrey Archer,3.87,m,Pan,November 1st 2003
Warrior Rising,P.C. Cast,4.14,m,Berkley Sensation,May 6th 2008
Stone Fox,John Reynolds Gardiner,4.04,m,HarperCollins,April 27th 2010
Blackmoore,Julianne Donaldson,4.17,w,Shadow Mountain,September 9th 2013
The Legacies,Pittacus Lore,4.26,m,HarperCollins,July 10th 2012
Without Dogma,Henryk Sienkiewicz,4.11,m,BiblioLife,May 29th 2008
Blink Once,Cylin Bus,4.01,m,Bloomsbury USA Childrens,September 4th 2012
Incandescent,River Savage,4.1,m,River Savage,August 9th 2014
Forest of the Pygmies,"Isabel Allende , Margaret Sayers Peden",3.78,w;w,Rayo,August 1st 2006
"Bitter Is the New Black: Confessions of a Condescending, Egomaniacal, Self-Centered Smartass, Or, Why You Should Never Carry A Prada Bag to the Unemployment Office",Jen Lancaster,3.89,w,NAL,March 7th 2006
Coming of Age in the Milky Way,Timothy Ferris,4.15,m,Harper Perennial,July 29th 2003
The Last Picture Show,Larry McMurtry,3.97,m,Orion Books,2000
The Complete Stories of Truman Capote,Truman Capote,4.2,m,Vintage,September 13th 2005
Queen of Camelot,Nancy McKenzie,4.07,w,Del Rey,January 2nd 2002
Trumpet,Jackie Kay,4.06,m,Vintage,July 11th 2000
Shadowmarch,Tad Williams,3.74,m,DAW,September 5th 2006
Sharpe's Eagle,Bernard Cornwell,4.26,m,Signet,August 3rd 2004
Night Probe!,Clive Cussler,3.9,m,Bantam,June 1st 1984
"The Walking Dead, Vol. 3: Safety Behind Bars",Robert Kirkman,4.3,m,Image Comics,June 18th 2005
Boomerang: Travels in the New Third World,Michael Lewis,3.9,m,W. W. Norton Company,September 4th 2012
So Much More,"Anna Sofia Botkin, Elizabeth Botkin",3.58,w;w,Vision Forum,October 17th 2005
Bury Your Dead,Louise Penny,4.35,w,Minotaur Books,September 28th 2010
Lola Rose,Jacqueline Wilson,3.85,w,Doubleday,2007
The Snail on the Slope,"Arkady Strugatsky, Boris Strugatsky",3.96,m;m,Bantam Books,August 1st 1983
I Spit on Your Graves,"Boris Vian, Vernon Sullivan",3.6,m;m,Tamtam Books,October 31st 2013
Crush It!: Why Now Is the Time to Cash In on Your Passion,Gary Vaynerchuk,3.89,m,HarperCollins,October 14th 2009
Masterpiece,Elise Broach,3.92,w,Henry Holt & Company,September 30th 2008
I Am Apache,Tanya Landman,4.04,w,Candlewick Press,August 26th 2008
The Giant's House,Elizabeth McCracken,3.67,w,Harper Perennial,July 3rd 2006
"Batman, Volume 3: Death of the Family",Scott Snyder  (Writer),4.33,m,DC Comics,October 9th 2013
Berlin Alexanderplatz,Alfred Döblin,3.85,m,Deutscher Taschenbuch Verlag,December 1st 2009
Smoke,Ellen Hopkins,4.33,w,Margaret K. McElderry,September 10th 2013
Mom & Me & Mom,Maya Angelou,4.2,w,Random House,April 2nd 2013
Whisper of Death,Christopher Pike,3.79,m,Archway Paperbacks,December 1st 1991
The Book of Tea,Kakuzō Okakura,3.85,m,Tuttle,1989
Blood's Fury,C.M. Owens,4.27,m,C.M. Owens,February 20th 2014
The Turning,Lucian Bane,4.21,m,"Amazon Digital Services, Inc.",November 24th 2014
From the Start,Melissa Tagg,4.15,w,Bethany House Publishers,April 7th 2015
"John Green the Collection: Looking for Alaska / An Abundance of Katherines / Paper Towns / Will Grayson, Will Grayson / The Fault in Our Stars",John Green,4.53,m,Penguin,November 7th 2013
قرية ظالمة,محمد كامل حسين,3.96,m,دار الشروق,2007
Black Rose,Nora Roberts,4.06,w,Penguin USA,May 31st 2005
Artemisia,Alexandra Lapierre,3.94,w,Grove Press,September 21st 2001
Undead and Unappreciated,MaryJanice Davidson,3.88,m,Berkley Publishing Group,July 5th 2005
Crazy in Alabama,Mark Childress,3.96,m,Ballantine Books,August 9th 1994
The Fourth Hand,John Irving,3.31,m,Fawcett Books,April 29th 2003
"Tunnel in the Sky (Heinlein's Juveniles, #9)",Robert A. Heinlein,3.94,m,Pocket Books,April 1st 2005
The Tiger in the Well,Philip Pullman,3.9,m,Laurel Leaf Library,February 18th 1992
Violin,Anne Rice,3.29,w,Distribooks,January 1st 2002
Leven Thumps and the Eyes of the Want,Obert Skye,3.97,m,Shadow Mountain,September 25th 2007
Ecotopia,Ernest Callenbach,3.59,m,Bantam,March 1st 1990
The White Road,John Connolly,4.17,m,Pocket Books,March 2004
Say Cheese and Die!,R.L. Stine,3.76,m,Scholastic,September 1st 2003
The Secret Island,Enid Blyton,4.2,w,Award Publications,June 1st 2002
Woman at Point Zero,Nawal El Saadawi,4.08,w,Zed Books,December 1st 1984
The Home and the World,Rabindranath Tagore,3.83,m,Penguin Classics,March 31st 2005
Go the F**k to Sleep,Adam Mansbach,4.27,m,Akashic Books,December 6th 2011
A Ilha das Trevas,José Rodrigues dos Santos,3.83,m,Gradiva,2007
Ruining You,Nicole Reed,4.24,w,Nicole Reed Books,January 29th 2013
"""Repent, Harlequin!"" Said the Ticktockman",Harlan Ellison,4.19,m,Underwood Books,October 1st 1997
The Family Moskat,Isaac Bashevis Singer,4.19,m,"Farrar, Straus and Giroux",April 1st 1988
Georgiana: Duchess of Devonshire,Amanda Foreman,3.79,w,Modern Library,January 16th 2001
The Radetzky March,Joseph Roth,4.08,m,Granta,November 1st 2003
Whatever Life Throws at You,Julie Cross,4.16,w,Entangled: Teen,October 7th 2014
Breakable,Tammara Webber,4.05,m,Penguin Berkley,May 6th 2014
The Skinner,Neal Asher,4.14,m,Tor Science Fiction,May 1st 2005
La sombra del ciprés es alargada,Miguel Delibes,3.91,m,Destino Ediciones,November 2001
Cibola Burn,James S.A. Corey,4.17,m,Orbit,June 17th 2014
There are No Children Here: The Story of Two Boys Growing Up in the Other America,Alex Kotlowitz,4.28,m,Anchor Books,January 5th 1992
Mona Lisa Overdrive,William Gibson,3.99,m,Bantam Spectra,December 1989
Old School,Tobias Wolff,3.83,m,Bloomsbury,February 7th 2005
"Expecting Adam: A True Story of Birth, Rebirth, and Everyday Magic",Martha N. Beck,3.82,w,Berkley Trade,August 1st 2000
Shatterglass,Tamora Pierce,4.19,m,Scholastic Paperbacks,November 15th 2006
Anne Rice's The Vampire Lestat: A Graphic Novel,Faye Perozich,4.2,w,Ballantine Books,November 30th 1991
Secret Vampire,L.J. Smith,3.72,m,Archway Paperbacks,June 1996
The Grey King,Susan Cooper,4.17,w,Margaret K. McElderry Books,May 8th 2007
"Carry On, Jeeves",P.G. Wodehouse,4.27,m,The Overlook Press,March 31st 2003
Born in Fire,Nora Roberts,4.22,w,Jove,October 1st 1994
The Owl Killers,Karen Maitland,3.8,w,Michael Joseph,June 1st 2009
Dream Chaser,Sherrilyn Kenyon,4.2,m,St. Martin's Press,February 5th 2008
Be Here Now,"Ram Dass, Richard Alpert",4.28,m;m,"Lama Foundation (San Cristobal, NM)",October 12th 1971
Live to Tell,Lisa Gardner,4.18,w,Bantam Books,June 30th 2010
Immortal Danger,Cynthia Eden,4.15,w,Brava,April 1st 2009
Dark Demon,Christine Feehan,4.36,w,Jove,March 28th 2006
Tamar,Mal Peet,3.91,m,Candlewick Press,January 23rd 2007
Mutiny on the Bounty,"Charles Bernard Nordhoff, James Norman Hall",3.99,m;m,Back Bay Books,April 11th 1989
Neon Angel,"Cherie Currie, Neal Shusterman",3.97,w;m,Price Stern Sloan,August 23rd 1989
Batman: Dark Victory,Jeph Loeb,4.13,m,DC Comics,October 1st 2002
One Salt Sea,Seanan McGuire,4.32,m,DAW,September 6th 2011
The Art Book,Phaidon Press,3.83,m,Phaidon Press,April 17th 1997
Now Wait for Last Year,Philip K. Dick,3.89,m,Vintage,June 29th 1993
The Search for Sam,Pittacus Lore,4.24,m,HarperTeen,December 26th 2012
The Iron Heel,Jack London,3.77,m,Librivox,July 2010
Extreme Exposure,Pamela Clare,3.92,w,Berkley,August 2nd 2005
Starry River of the Sky,Grace Lin,4.13,w,"Little, Brown Books for Young Readers",October 2nd 2012
Happy Accidents,"Jane Lynch, Lisa Dickey",3.69,w;w,Hachette Books,September 13th 2011
The Case of the Peculiar Pink Fan,Nancy Springer,4.14,w,Philomel Penguin Young Readers,2008
The Case of the Bizarre Bouquets,Nancy Springer,4.12,w,Penguin Philomel,2008
Extreme Measures,Vince Flynn,4.3,m,Atria Books,October 21st 2008
The Two-Bear Mambo,Joe R. Lansdale,4.13,m,Phoenix,March 20th 1997
Finding Serendipity,Angelica Banks,4.12,w,Henry Holt and Co. (BYR),February 3rd 2015
İçimizdeki Şeytan,Sabahattin Ali,4.34,m,Yapı Kredi Yayınları,September 2014
Criminal,Karin Slaughter,4.23,w,Dell,July 3rd 2012
Walden Two,B.F. Skinner,3.5,m,"Hackett Publishing Company, Inc.",July 15th 2005
The Calvin and Hobbes Lazy Sunday Book,Bill Watterson,4.67,m,Andrews McMeel Publishing,1989
The River of Wind,Kathryn Lasky,4.06,w,Scholastic,July 1st 2007
The Call of Earth,Orson Scott Card,3.59,m,Tor Books,January 15th 1994
The Queen of Bedlam,Robert R. McCammon,4.25,m,Pocket Books,October 23rd 2007
Indian Creek Chronicles: A Winter Alone in the Wilderness,Pete Fromm,4.21,m,Picador,October 17th 2003
From Bad to Cursed,Katie Alender,4.19,w,Hyperion,June 14th 2011
The Death of Kings,Conn Iggulden,4.28,m,Dell Books,February 2005
Leif,Abbi Glines,3.6,m,,July 3rd 2012 
Scorched,Mari Mancusi,3.78,w,Sourcebooks Fire,September 3rd 2013
"Agent Zigzag: A True Story of Nazi Espionage, Love, and Betrayal",Ben Macintyre,4.1,m,Crown,September 4th 2007
The Lost Heiress,Roseanna M. White,4.14,w,Bethany House Publishers/Baker Publishing Group,September 8th 2015
"John Le Carré: Three Complete Novels [Tinker, Tailor, Soldier, Spy / The Honourable Schoolboy / Smiley's People]",John le Carré,4.47,m,Wings,May 8th 1995
"Scientific Progress Goes ""Boink""",Bill Watterson,4.73,m,Andrews and McMeel Publishing,1991
Bones of Faerie,Janni Lee Simner,3.62,w,Random House Books for Young Readers,January 27th 2009
Someday,Karen Kingsbury,4.41,w,Tyndale House Publishers,February 5th 2008
Winnetou I - IV,Karl May,4.37,m,"Garant, Renningen",2009
A Morbid Taste for Bones,Ellis Peters,3.97,m,Grand Central Publishing,1994
Hitler and Stalin: Parallel Lives,Alan Bullock,4.16,m,Vintage,November 2nd 1993
The Black Tattoo,Sam Enthoven,3.49,m,Razor Bill/Penguin,October 5th 2006
The Black Book of Secrets,F.E. Higgins,3.88,m,MacMillan Children's Books,January 5th 2007
"Juliet, Naked",Nick Hornby,3.49,m,Riverhead Books,September 29th 2009
A High Wind in Jamaica,Richard Hughes,3.78,m,The New York Review of Books,September 30th 1999
The Tower Treasure,Franklin W. Dixon,3.91,m,Applewood Books,October 1st 1991
Personal Demon,Kelley Armstrong,4.08,m,Bantam,March 25th 2008
Bonded,Nicky Charles,4.16,m,Smashwords,January 6th 2012
The 3 Mistakes of My Life,Chetan Bhagat,3.02,m,Rupa & Co.,January 1st 2008
The Lion's Paw,Robb White,4.41,m,Mickler House Publishers,September 1st 1994
The Medusa Plot,Gordon Korman,4.08,m,Scholastic Press,August 30th 2011
The Bourne Ultimatum,Robert Ludlum,4.05,m,Orion,May 6th 2004
Pan Wołodyjowski,Henryk Sienkiewicz,3.97,m,Narodowa Biblioteka Lektur Szkolnych,1997
Evil Under the Sun,Agatha Christie,3.98,w,Black Dog & Leventhal Publishers,September 1st 2006
Pieces of You,Cassia Leo,4.21,w,Cassia Leo,May 3rd 2013
A Darkling Plain,Philip Reeve,4.2,m,Scholastic UK,February 5th 2007
Keegan's Lady,Catherine Anderson,4.11,w,Avon,January 25th 2005
Ruining Me,Nicole Reed,4.04,w,,September 26th 2012
Predator's Gold,Philip Reeve,3.96,m,Eos,January 1st 2006
The Virgin of Small Plains,Nancy Pickard,3.87,w,Ballantine Books,April 18th 2006
Alice,Christina Henry,3.86,w,Ace,August 4th 2015
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.1,m,Flatiron Books,April 17th 2018
Long Road to Mercy,David Baldacci,3.88,m,Grand Central Publishing,November 13th 2018
Knuffle Bunny: A Cautionary Tale,Mo Willems,4.26,m,Walker Books Ltd,July 7th 2005
"To Green Angel Tower, Part 2",Tad Williams,4.21,m,DAW Fantasy,July 1st 1994
American Star,Jackie Collins,3.96,m,Pocket Books,February 1st 1998
"The Lion, the Witch and the Wardrobe / The Magician's Nephew",C.S. Lewis,4.27,m,Harper Collins Promotion,Published
The Mulberry Tree,Jude Deveraux,3.82,m,Pocket Books,April 29th 2003
Voices of Dragons,Carrie Vaughn,3.7,w,HarperTeen,March 16th 2010
I Have No Mouth and I Must Scream,Harlan Ellison,3.98,m,Ace Books,January 15th 1984
Practical Ethics,Peter Singer,4.06,m,Cambridge University Press,January 29th 1993
The Finding,Nicky Charles,4.18,m,Smashwords,February 11th 2011
The Diamond of Drury Lane,Julia Golding,4.04,w,Egmont Books (UK),January 1st 2006
An Artificial Night,Seanan McGuire,4.18,m,DAW,September 7th 2010
The Souls of Black Folk,W.E.B. Du Bois,4.26,m,Penguin Classics,September 26th 1996
Shell Game,Ridley Pearson,4.15,m,Disney-Hyperion,April 3rd 2012
All Together in One Place,Jane Kirkpatrick,3.98,w,Waterbrook Press,April 18th 2000
The Rose and the Thorn,Michael J. Sullivan,4.4,m,Orbit,September 17th 2013
The Case of the Missing Marquess,Nancy Springer,3.86,w,Philomel,February 16th 2006
There You'll Find Me,Jenny B. Jones,4.07,w,Thomas Nelson,October 3rd 2011
Silent Scream,Angela Marsons,4.05,w,Bookouture,February 20th 2015
Chaos: Making a New Science,James Gleick,4.02,m,Penguin Group,December 1st 1988
Brazil,John Updike,3.46,m,Random House Trade Paperbacks,August 27th 1996
The Way We Live Now,Anthony Trollope,4.06,m,Wordsworth Editions,June 5th 1995
Nečista krv,Borisav Stanković,3.85,m,Alexandria,2004
The Missionary Position: Mother Teresa in Theory and Practice,Christopher Hitchens,4.06,m,Verso,April 17th 1997
Then He Ate My Boy Entrancers,Louise Rennison,4.09,w,HarperCollinsChildren'sBooks,May 3rd 2005
Temple,Matthew Reilly,4.06,m,St. Martin's Paperbacks,February 18th 2002
Strength in What Remains: A Journey of Remembrance and Forgiveness,Tracy Kidder,4.02,m,Random House (NY),August 27th 2009
"The Path Between the Seas: The Creation of the Panama Canal, 1870-1914",David McCullough,4.2,m,Simon Schuster,June 1st 2004
Dialogues Concerning Natural Religion,David Hume,3.97,m,Hackett Publishing Company,September 1st 1998
The Colossus of Maroussi,Henry Miller,3.99,m,New Directions,January 17th 1975
Night Without End,Alistair MacLean,3.82,m,Fontana,1980
The Mirror,Marlys Millhiser,4.03,w,Rue Morgue,November 1st 1997
"We, the Drowned",Carsten Jensen,4.24,m,Houghton Mifflin Harcourt,February 9th 2011
Mermaid,Carolyn Turgeon,3.63,w,Crown Publishing Group,March 1st 2011
Vitro,Jessica Khoury,3.65,w,Razorbill,January 14th 2015
Baby Love,Catherine Anderson,4.04,w,Avon,November 28th 2006
I Am Pusheen the Cat,Claire Belton,4.22,w,Gallery Books,October 29th 2013
The Complete Plays,Sophocles,4.27,m,New American Library,March 1st 2001
Destination Moon,Hergé,4.19,m,"Little, Brown and Co.",September 30th 1976
Wings of a Sparrow,Dougie Brimson,4.2,m,ebookpartnership,November 30th 2012
Michael Strogoff,Jules Verne,3.89,m,,
The Law of Attraction,N.M. Silber,3.76,m,Mendelssohn Levy Publishing,February 21st 2014
The Feast of Love,Charles Baxter,3.69,m,Vintage,May 1st 2001
Layer Cake,J.J. Connolly,3.99,m,"Grove Press, Black Cat",August 31st 2004
Privilege,Kate Brian,3.96,w,Simon Schuster Books for Young Readers,December 30th 2008
Five Plays: Ivanov / The Seagull / Uncle Vanya / The Three Sisters / The Cherry Orchard,Anton Chekhov,4.18,m,"Oxford University Press, USA",July 9th 1998
Another Bullshit Night in Suck City,Nick Flynn,3.79,m,W. W. Norton & Company,September 12th 2005
Miracles,C.S. Lewis,4.05,m,,February 4th 2002 
The Enchanted Barn,Grace Livingston Hill,4.28,w,Tyndale House Publishers,April 1st 1988
Evercrossed,Elizabeth Chandler,4.04,w,Simon Pulse,March 8th 2011
Although of Course You End Up Becoming Yourself: A Road Trip with David Foster Wallace,David Lipsky,3.9,m,Broadway,April 13th 2010
The Fry Chronicles,Stephen Fry,3.87,m,Michael Joseph,2010
Unlovable,Sherry Gammon,4.03,w,Wordpainting Unlimited Inc.,January 19th 2011
The Tao of Physics: An Exploration of the Parallels between Modern Physics and Eastern Mysticism,Fritjof Capra,3.94,m,Shambhala,January 4th 2000
"The Ear, the Eye, and the Arm",Nancy Farmer,3.86,w,Puffin,October 1st 1995
The Bear and the Dragon,Tom Clancy,3.84,m,Berkley Books,August 1st 2001
Altar of Bones,Philip Carter,3.7,m,Gallery Books,March 8th 2011
Try Me,Olivia Cunning,3.87,w,Olivia Cunning,June 26th 2012
The Witch Hunter,Nicole R. Taylor,3.62,w,,March 20th 2013
The Bar Code Tattoo,Suzanne Weyn,3.55,w,Scholastic Inc.,September 2004
Fear of Falling,S.L. Jennings,4.11,m,,July 18th 2013 
Five Little Pigs,Agatha Christie,4.01,w,Berkley,December 15th 1985
My Sunshine,Catherine Anderson,4.17,w,Berkley Books,January 4th 2005
Here to Stay,Catherine Anderson,4.09,w,Berkley Books,January 25th 2011
The Case of the Gypsy Good-Bye,Nancy Springer,4.24,w,Philomel Books,May 13th 2010
How I Taught My Grandmother to Read and Other Stories,Sudha Murty,4.09,w,Penguin Putnam,January 1st 2004
The Chief,Monica McCarty,4.06,w,Ballantine Books,March 23rd 2010
Renegade,Erica Stevens,4.14,w,Gilmour-Cox,May 31st 2012
Refugee,Erica Stevens,4.26,w,Gilmour-Cox,January 1st 2013
Moonwalk,Michael Jackson,4.3,m,DoubleDay,February 1st 1988
Bone Gap,Laura Ruby,3.83,w,Balzer + Bray,March 3rd 2015
The Ship of the Dead,Rick Riordan,4.39,m,Disney-Hyperion Books,October 3rd 2017
Camp Half-Blood Confidential,Rick Riordan,4.19,m,,"What We've Read So Far in 2017

7,286 books — 1,066 voters
August 2017 Book Releases

46 books — 17 voters"
"Unfiltered: No Shame, No Regrets, Just Me",Lily Collins,3.94,w,HarperCollins,March 7th 2017
My Dark Places,James Ellroy,3.88,m,Random House Value Publishing,November 5th 1996
Hegemony or Survival: America's Quest for Global Dominance,Noam Chomsky,3.97,m,Holt McDougal,September 1st 2004
The American,Henry James,3.67,m,Signet Book,January 4th 2005
The Beast Must Die,Nicholas Blake,3.85,m,Pan Classic Crime,April 9th 1999
Z for Zachariah,Robert C. O'Brien,3.67,m,Heinemann Educational Books,October 25th 1976
Fearless Fourteen,Janet Evanovich,4.04,w,St. Martin's Press,June 17th 2008
Seeds of Yesterday,V.C. Andrews,3.83,m,Pocket,November 28th 1990
Echoes,Maeve Binchy,3.81,w,Dell Publishing Company,February 10th 1997
Sheer Abandon,Penny Vincenzi,3.74,w,Doubleday,May 8th 2007
Tales of a Female Nomad: Living at Large in the World,Rita Golden Gelman,3.85,w,Broadway Books,May 28th 2002
Krik? Krak!,Edwidge Danticat,4.13,m,Vintage,April 2nd 1996
The Mark,"Tim LaHaye, Jerry B. Jenkins",4.03,m;m,Tyndale House Publishers,July 2nd 2001
The Professor,Charlotte Brontë,3.57,w,North Books,May 1999
Marvel 1602,Neil Gaiman,3.94,m,Marvel,August 2nd 2006
Runemarks,Joanne Harris,3.74,w,Doubleday,August 2nd 2007
The Wild Ass's Skin,Honoré de Balzac,3.83,m,Penguin Classics,June 30th 1977
"They Shoot Horses, Don't They?",Horace McCoy,3.86,m,Serpent's Tail,September 15th 1995
Disney at Dawn,Ridley Pearson,4.03,m,Disney Editions,August 26th 2008
نهاية العالم: أشراط الساعة الصغرى والكبرى,محمد عبدالرحمن العريفي,4.13,m,دار التدمرية,Published
Until Nico,Aurora Rose Reynolds,4.31,w,Aurora Rose Reynolds,May 29th 2014
Of Just the Two of Us,Le-an Lai Lacaba,5.0,m,BLVNP Incorporated,November 5th 2014
It Gets Worse: A Collection of Essays,Shane Dawson,4.23,m,Atria/Keywords Press,July 19th 2016
The Character of Physical Law,Richard P. Feynman,4.29,m,Modern Library,November 8th 1994
Tantalize,Cynthia Leitich Smith,3.3,w,Candlewick Press,February 13th 2007
Prince Charming,Julie Garwood,4.06,w,Pocket Books,February 1st 1995
What's So Amazing About Grace?,Philip Yancey,4.16,m,Zondervan,February 17th 2002
Only You Can Save Mankind,Terry Pratchett,3.72,m,HarperTrophy,July 25th 2006
First King of Shannara,Terry Brooks,3.96,m,Orbit,1997
Breath,Tim Winton,3.87,m,"Farrar, Straus and Giroux",May 27th 2008
The Minority Report,Philip K. Dick,3.84,m,Pantheon Books,May 14th 2002
Ramona the Brave,Beverly Cleary,4.11,w,Oxford University Press,November 9th 2000
Kiss of Fire,Deborah Cooke,3.74,w,Berkley Books,February 5th 2008
The Twilight Saga Breaking Dawn Part 1: The Official Illustrated Movie Companion,Mark Cotta Vaz,4.28,m,"Little, Brown Books for Young Readers",December 13th 2011
"Black Dagger Brotherhood, #1-9",J.R. Ward,4.74,m,Zatpix Re-Packaged Edition,June 13th 2011
The Mysteries of Udolpho,Ann Radcliffe,3.38,w,Penguin Classics,April 26th 2001
The Colossus Rises,Peter Lerangis,3.85,m,HarperCollins,February 5th 2013
A Game of Thrones / A Clash of Kings,George R.R. Martin,4.53,m,Voyager,December 23rd 2010
Shattered Souls,Mary Lindsey,3.94,m,Speak/Penguin,December 6th 2012
The Collected Stories of Philip K. Dick 4: The Minority Report,Philip K. Dick,4.19,m,Citadel Press,January 1st 1996
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,3.93,m,Harper,June 28th 2016
A Case of Need,"Jeffery Hudson (Pseudonym), Michael Crichton",3.72,m;m,Signet,August 5th 2003
Sunset Song,Lewis Grassic Gibbon,3.94,m,Canongate Books,November 1st 1988
The Chocolate Lovers' Club,Carole Matthews,3.76,w,Headline Review,February 8th 2007
"A Coal Miner's Bride: The Diary of Anetka Kaminska, Lattimer, Pennsylvania, 1896",Susan Campbell Bartoletti,4.14,w,Scholastic,2000
Thieves' World,Robert Lynn Asprin (Editor),3.84,m,Ace Books,September 15th 1982
Magic Steps,Tamora Pierce,4.02,m,Scholastic,November 15th 2006
Dinner at the Homesick Restaurant,Anne Tyler,3.81,w,Ballantine Books,August 27th 1996
"Absolutely, Positively",Jayne Ann Krentz,3.96,w,,
What's Wrong with the World,G.K. Chesterton,4.04,m,Dover Publications,June 5th 2007
A Rose for Emily and Other Stories,William Faulkner,4.07,m,Merrill Publishing Company,January 1st 1970
"The League of Extraordinary Gentlemen, Vol. 1",Alan Moore,3.94,m,America's Best Comics,October 1st 2002
Blade of Fortriu,Juliet Marillier,4.09,w,Tor,October 31st 2006
The Secret Life of Walter Mitty,James Thurber,3.66,m,Creative Education,January 1st 2008
Eat Prey Love,Kerrelyn Sparks,4.27,m,Avon,September 28th 2010
Side Jobs,Jim Butcher,4.26,m,Roc,October 26th 2010
The Calculus Affair,Hergé,4.14,m,"Little, Brown and Co.",September 30th 1976
"Swamp Thing, Vol. 1: Saga of the Swamp Thing",Alan Moore,4.21,m,Vertigo,February 23rd 1998
The Devil's Alternative,Frederick Forsyth,4.06,m,Bantam,September 1st 1982
The Long Ships,Frans G. Bengtsson,4.28,m,HarperCollins,1994
The Mirror Crack'd from Side to Side,Agatha Christie,3.92,w,HarperCollins,2002
A Song for Julia,Charles Sheehan-Miles,4.11,m,Cincinnatus Press,December 5th 2012
Sushi for Beginners,Marian Keyes,3.69,m,William Morrow Paperbacks,February 5th 2008
Winning,"Jack Welch, Suzy Welch",3.84,m;w,Harper Business,April 5th 2005
The Social Contract,Jean-Jacques Rousseau,3.78,m,Penguin,May 30th 2006
The Garden of Forking Paths,Jorge Luis Borges,4.33,m,Penguin Audio,June 24th 2010
Whose Body?,Dorothy L. Sayers,3.88,w,HarperTorch,July 11th 1995
The Assassination of Jesse James by the Coward Robert Ford,Ron Hansen,3.91,m,Harper Perennial,February 26th 1997
The Princess Present,Meg Cabot,3.62,w,HarperTeen,September 21st 2004
Hot Water Music,Charles Bukowski,3.91,m,Ecco,May 31st 2002
The Twenty-One Balloons,William Pène du Bois,3.96,m,Puffin,1986
Betsy-Tacy and Tib,Maud Hart Lovelace,4.17,w,Thomas Y. Crowell Company,1941
Big Boned,Meg Cabot,3.84,w,William Morrow Paperbacks,November 20th 2007
Genius Squad,Catherine Jinks,3.87,w,HMH Books for Young Readers,May 1st 2008
Garden of Shadows,V.C. Andrews,3.91,m,Pocket Books,November 28th 1987
Summer's Crossing,Julie Kagawa,4.08,w,Harlequin Teen,June 1st 2011
Your Inner Fish: A Journey Into the 3.5-Billion-Year History of the Human Body,Neil Shubin,4.01,m,Pantheon Books,January 15th 2008
